,A,actions,delta_shares,quantity,delta_vt,total_reward,total_profit,portfolio_value,nav,cash
4530,43.52804275883736,4,0,-1000,-74.45758611214615,5327.784674636758,6274.100727217599,56274.1007272176,-43602.500344949505,99876.6010721671
4531,43.602500344949505,4,0,-1000,-26.008079033012166,5301.742774594996,6248.092648184589,56248.09264818459,-43628.508423982516,99876.6010721671
4532,43.62850842398252,4,0,-1000,5.403133789855019,5307.144448692114,6253.495781974445,56253.495781974445,-43623.10529019266,99876.6010721671
4533,43.62310529019266,4,0,-1000,-74.71373671072712,5232.151604858723,6178.782045263717,56178.78204526372,-43697.81902690339,99876.6010721671
4534,43.69781902690339,4,0,-1000,-5.637596102097575,5226.512419632135,6173.14444916162,56173.14444916162,-43703.456623005484,99876.6010721671
4535,43.703456623005486,4,0,-1000,-136.9546290820196,5088.619962028765,6036.189820079599,56036.1898200796,-43840.411252087506,99876.6010721671
4536,43.840411252087506,4,0,-1000,-63.23817018225952,5025.181838538106,5972.951649897339,55972.95164989734,-43903.649422269766,99876.6010721671
4537,43.903649422269766,4,0,-1000,20.370155498710574,5045.531246875064,5993.321805396052,55993.32180539605,-43883.27926677105,99876.6010721671
4538,43.883279266771055,4,0,-1000,-84.54055140916239,4960.6333402242735,5908.78125398689,55908.78125398689,-43967.819818180214,99876.6010721671
4539,43.96781981818022,4,0,-1000,-3.940891853893902,4956.691671838949,5904.840362132993,55904.84036213299,-43971.76071003411,99876.6010721671
4540,43.97176071003411,4,0,-1000,-125.06971533512967,4830.8398348191195,5779.770646797864,55779.770646797864,-44096.83042536924,99876.6010721671
4541,44.09683042536924,4,0,-1000,-5.246250034083744,4825.592208628064,5774.52439676378,55774.52439676378,-44102.076675403325,99876.6010721671
4542,44.102076675403325,4,0,-1000,4.786465346313662,4830.377528461852,5779.310862110091,55779.31086211009,-44097.29021005701,99876.6010721671
4543,44.09729021005701,4,0,-1000,-6.014063758321697,4824.361656255386,5773.296798351774,55773.296798351774,-44103.30427381533,99876.6010721671
4544,44.10330427381533,4,0,-1000,-25.078054698390417,4799.252156115623,5748.218743653379,55748.21874365338,-44128.382328513726,99876.6010721671
4545,44.12838232851372,4,0,-1000,-96.94563183289517,4701.836601506154,5651.273111820483,55651.27311182048,-44225.32796034662,99876.6010721671
4546,44.22532796034662,4,0,-1000,-18.470544568614855,4683.348998886706,5632.802567251871,55632.80256725187,-44243.798504915234,99876.6010721671
4547,44.24379850491523,4,0,-1000,6.526565353247804,4689.873434437188,5639.3291326051185,55639.32913260512,-44237.271939561986,99876.6010721671
4548,44.237271939561985,4,0,-1000,30.71004361803631,4720.536322716273,5670.039176223152,55670.03917622315,-44206.56189594395,99876.6010721671
4549,44.20656189594395,4,0,-1000,-49.296569026289205,4671.118246104096,5620.742607196866,55620.742607196866,-44255.85846497024,99876.6010721671
